Condition,Genotype,Age,Frequ_Est,Frequ_Low,Frequ_Hig,Bayes_Est,Bayes_Low,Bayes_Hig,Trial
Low,e33,45-49,0.997845777,0.994804201,0.999108437,0.997343329,0.994527153,0.998795381,Lo_e33_45-49
Low,e33,50-54,0.996612953,0.993999512,0.998090327,0.996211138,0.993853566,0.997755982,Lo_e33_50-54
Low,e33,55-59,0.994678367,0.992075973,0.996429163,0.994599055,0.992144914,0.99635624,Lo_e33_55-59
Low,e33,60-65,0.991648059,0.986008589,0.995025914,0.992306361,0.987419249,0.995391374,Lo_e33_60-65
Low,e34,45-49,0.996071424,0.991931834,0.998091173,0.996261055,0.992602939,0.998194418,Lo_e34_45-49
Low,e34,50-54,0.995493959,0.992905094,0.997140892,0.995632915,0.993265328,0.997257035,Lo_e34_50-54
Low,e34,55-59,0.994832053,0.992854676,0.996264275,0.994899788,0.993004386,0.996341353,Lo_e34_55-59
Low,e34,60-65,0.994073495,0.990586818,0.996273553,0.994044324,0.990769859,0.996256216,Lo_e34_60-65
Low,e44,45-49,0.99284608,0.968365415,0.998413238,0.994740208,0.980104536,0.9986831,Lo_e44_45-49
Low,e44,50-54,0.994007502,0.984840728,0.997644409,0.994966894,0.988490463,0.997903703,Lo_e44_50-54
Low,e44,55-59,0.994981323,0.990777377,0.997274257,0.995183857,0.991575616,0.997337401,Lo_e44_55-59
Low,e44,60-65,0.99579756,0.989923942,0.998253322,0.995391512,0.989880511,0.998032029,Lo_e44_60-65
High,e33,45-49,0.985269027,0.976470612,0.990808394,0.985200643,0.976625841,0.990881781,Hi_e33_45-49
High,e33,50-54,0.981465935,0.974709726,0.986442352,0.981549396,0.975026807,0.986641684,Hi_e33_50-54
High,e33,55-59,0.976704214,0.969912473,0.981991303,0.977018338,0.970422455,0.982463592,Hi_e33_55-59
High,e33,60-65,0.970755578,0.958466521,0.979486332,0.971406968,0.959443996,0.980231433,Hi_e33_60-65
High,e34,45-49,0.983374522,0.974413105,0.989232024,0.983637657,0.974943911,0.989590424,Hi_e34_45-49
High,e34,50-54,0.97873888,0.971861423,0.983963129,0.979004847,0.972315484,0.984389135,Hi_e34_50-54
High,e34,55-59,0.972846383,0.966753598,0.97784818,0.973096187,0.967199794,0.978294439,Hi_e34_55-59
High,e34,60-65,0.965378556,0.954813844,0.973541641,0.965583114,0.955180036,0.974004095,Hi_e34_60-65
High,e44,45-49,0.981241009,0.955045587,0.99229522,0.981912631,0.957055591,0.992761044,Hi_e44_45-49
High,e44,50-54,0.975620539,0.957630907,0.986082901,0.976117914,0.958854027,0.986613613,Hi_e44_50-54
High,e44,55-59,0.968370376,0.954650317,0.978035083,0.968526228,0.955109663,0.978426324,Hi_e44_55-59
High,e44,60-65,0.959054589,0.934013794,0.974848658,0.958623578,0.933241124,0.974885333,Hi_e44_60-65
