"","name","post_mean","post_medi","post_025","post_975"
"50%","E34_vs_E33",0.619152137879834,0.610542646326169,-0.161645287594267,1.44083196510465
"50%1","E44_vs_E34",-1.36404943253256,-1.35831601658868,-2.61081968039734,-0.146909916195742
"50%2","E44_vs_E33",-0.744897294652724,-0.737113035351575,-1.92765681455198,0.375826014488631
"50%3","E33_HmL",-1.45765507877507,-1.45554707652005,-1.80576728349846,-1.12108511895996
"50%4","E34_HmL",-1.82139214366399,-1.81277157131725,-2.27717865505166,-1.40959577638004
"50%5","E44_HmL",-1.64282961941488,-1.63571867745676,-2.2675002605031,-1.05635561474068
"50%6","E34HmL_vs_E33HmL",-0.363737064888923,-0.353479238204342,-0.91668955185627,0.136397617799105
"50%7","E44HmL_vs_E34HmL",0.178562524249111,0.180803269692071,-0.563092453336262,0.912421175334177
"50%8","E44HmL_vs_E33HmL",-0.185174540639812,-0.179173279355059,-0.841365018597367,0.433993645743842
