"","name","test_type","test_stat","p_value"
"1","E34_vs_E33","t(613)",1.66700631995739,0.0960239340636355
"2","E44_vs_E34","t(613)",-2.59017215251637,0.00982083808170718
"3","E44_vs_E33","t(613)",-1.57340779148244,0.116140378206978
"4","E33_HmL","t(613)",-7.53885641420204,1.71404838724722e-13
"5","E34_HmL","t(613)",-7.88321402426913,1.46469155486856e-14
"6","E44_HmL","t(613)",-4.07324977768134,5.24485529142393e-05
"7","E34HmL_vs_E33HmL","t(613)",-1.41269293115109,0.15825353210366
"8","E44HmL_vs_E34HmL","t(613)",1.02710291259721,0.30477711936462
"9","E44HmL_vs_E33HmL","t(613)",0.0145645722131138,0.98838430240027
