"","Condition","Genotype","Sex","Age","Frequ.Est","Frequ.Low","Frequ.Hig","Bayes.Est","Bayes.Low","Bayes.Hig"
"1","Low","e33","Male","45-49",4.17388145110602,3.51618498273864,4.95459893418862,4.19096527218051,3.59469088892419,4.89382582879461
"2","Low","e33","Male","50-54",4.26813915179019,3.81172316082152,4.77920642461297,4.28561273174735,3.87311038442136,4.74050171214593
"3","Low","e33","Male","55-59",4.36452545009802,3.95647718264198,4.81465746551661,4.38239768017908,4.01920146821465,4.78600953037742
"4","Low","e33","Male","60-65",4.46308841560697,3.87543227881696,5.13985454329903,4.48136838986114,3.96089583548775,5.08979496102499
"5","Low","e33","Female","45-49",3.81790063920635,3.26382650147004,4.46603558255534,3.83088969087043,3.3280952351856,4.40991484388377
"6","Low","e33","Female","50-54",4.22136016714851,3.81021470836416,4.6768707342581,4.23393989399025,3.86001724960082,4.64111495892443
"7","Low","e33","Female","55-59",4.66745558482957,4.24027397535406,5.13767312276979,4.67939525083248,4.28611891139224,5.09933837153238
"8","Low","e33","Female","60-65",5.16069247203619,4.46875136405318,5.95977368648566,5.17171723306565,4.53728845317477,5.89640579822584
"9","Low","e4p","Male","45-49",3.69524713227778,3.10142295069228,4.40276982072349,3.71421870194842,3.17282765809396,4.34189319526596
"10","Low","e4p","Male","50-54",4.18710771776196,3.74245881967704,4.68458622656393,4.2053126097322,3.80007316475395,4.64828093727623
"11","Low","e4p","Male","55-59",4.74443803419853,4.35680334649103,5.16656146036037,4.76133894223719,4.40716960414253,5.13983951956558
"12","Low","e4p","Male","60-65",5.37595251367959,4.762645360712,6.06823797290196,5.39088306310432,4.83559866644042,6.01809847388136
"13","Low","e4p","Female","45-49",3.39072817651724,2.88650497187052,3.98303057817969,3.40794896964323,2.94569266364346,3.93495103760478
"14","Low","e4p","Female","50-54",3.98917452709009,3.60172867640603,4.41829877742587,4.00688762885333,3.65562535765752,4.38904566134848
"15","Low","e4p","Female","55-59",4.69324362766522,4.30065060576385,5.12167524585689,4.71108828602519,4.35444485282597,5.09309696040124
"16","Low","e4p","Female","60-65",5.52157735868414,4.83742734589893,6.30248567015281,5.53905047870664,4.91224089519713,6.24913307046935
"17","High","e33","Male","45-49",5.53204968095095,4.66608994502442,6.55871919167418,5.55514854360248,4.7713581613026,6.48234518241857
"18","High","e33","Male","50-54",5.73162883719054,5.12286572677469,6.41273281000032,5.75425909297485,5.20340930555813,6.36447790102902
"19","High","e33","Male","55-59",5.93840818900005,5.38702192011199,6.54623135790947,5.96050626714855,5.46939448742369,6.50404998803066
"20","High","e33","Male","60-65",6.15264749705398,5.34799731671903,7.07836391478006,6.17414586077493,5.46318849725959,7.00321835801348
"21","High","e33","Female","45-49",4.8407907153,4.14319642773412,5.65583967790543,4.85591998751364,4.22650380482143,5.58245052621139
"22","High","e33","Female","50-54",5.51616846495439,4.98271667039483,6.1067318385868,5.53155497201292,5.047884973174,6.05712227831596
"23","High","e33","Female","55-59",6.28577361082457,5.71447349430976,6.91418901949268,6.30119534240265,5.77783749411939,6.85913222734059
"24","High","e33","Female","60-65",7.1627525768224,6.20898280346771,8.26303214241825,7.17792066498586,6.30164687596131,8.1727605813911
"25","High","e4p","Male","45-49",5.05101728372055,4.24489542290821,6.01022476614152,5.07524711945541,4.34480167864307,5.92574988292778
"26","High","e4p","Male","50-54",5.71424433977433,5.11173128356919,6.38777481899318,5.73798132461248,5.18922502798464,6.33809616907525
"27","High","e4p","Male","55-59",6.46455684875251,5.94004094129605,7.03538841966883,6.48725646390485,6.01071481405712,7.0005633971358
"28","High","e4p","Male","60-65",7.31338962176815,6.48459670297695,8.24811013077064,7.33437319636405,6.58850155925912,8.18010782493183
"29","High","e4p","Female","45-49",4.39373975348841,3.74476986794238,5.15517633984589,4.41626488345177,3.8191795854677,5.09714652171457
"30","High","e4p","Female","50-54",5.32659095257697,4.81275329392569,5.89528892160017,5.35035722068748,4.88531016128085,5.85770466894078
"31","High","e4p","Female","55-59",6.45749925301071,5.92089765856639,7.04273220164566,6.48202115236081,5.99154501252776,7.00577820888057
"32","High","e4p","Female","60-65",7.82851489327522,6.86498522287393,8.92728002239975,7.85304541109765,6.96713179679306,8.85891376327841
"33","Low","ave","Male","45-49",3.9272793970721,3.47424903104539,4.43938339619428,3.94539752029491,3.52872595314294,4.4044973076734
"34","Low","ave","Male","50-54",4.22742928775192,3.90367211840039,4.57803776569887,4.245272813524,3.94737985839589,4.56191061929996
"35","Low","ave","Male","55-59",4.55051871182534,4.26416538374318,4.85610164784351,4.56794053540615,4.30707378472893,4.84677771822001
"36","Low","ave","Male","60-65",4.89830086730659,4.46325130625701,5.37575631312097,4.91513305541503,4.52165228139083,5.3457311591173
"37","Low","ave","Female","45-49",3.59798044359613,3.21556792226602,4.02587150557762,3.61323630210076,3.26129023567749,4.00210447707392
"38","Low","ave","Female","50-54",4.10362552488182,3.81721163476807,4.41152968703156,4.11884952171576,3.85410186274162,4.39521549311742
"39","Low","ave","Female","55-59",4.68033184516994,4.3862621651072,4.99411693974212,4.69521502722493,4.42746913449049,4.97397424215373
"40","Low","ave","Female","60-65",5.33808605295257,4.84096570109501,5.88625585640511,5.35223344180237,4.9025255243511,5.84163994772974
"41","High","ave","Male","45-49",5.28606456192923,4.68050601602211,5.96996958389382,5.30977886960139,4.75431197930601,5.92418560671632
"42","High","ave","Male","50-54",5.72292998739312,5.28773070121769,6.1939477426604,5.74611444477668,5.34768619903628,6.17172942792621
"43","High","ave","Male","55-59",6.19590004187352,5.80872781585316,6.60887866429489,6.2183062653511,5.86578748478404,6.59525624516486
"44","High","ave","Male","60-65",6.70795858300812,6.11625833051053,7.35690121636775,6.72930084865505,6.19414602183679,7.30966114513096
"45","High","ave","Female","45-49",4.61185153752061,4.12513051090348,5.15600040966288,4.6308777696791,4.18158649824279,5.1238999178889
"46","High","ave","Female","50-54",5.42055099028839,5.04488128271397,5.82419513794977,5.44020175049961,5.09445477601802,5.80364285150889
"47","High","ave","Female","55-59",6.37105787106773,5.97351457807943,6.79505806270996,6.39096874461231,6.03151380556682,6.76577572389616
"48","High","ave","Female","60-65",7.48823845937745,6.79570676501874,8.25134414468,7.50789830374588,6.88280718035189,8.19060376276439
"49","Low","ave","Male","mean",4.4641787224904,4.18577723451673,4.76109705552377,4.48172551129609,4.2285863418107,4.7531718831464
"50","Low","ave","Female","mean",4.52295585498964,4.25035091871887,4.81304486556399,4.53796192155407,4.28815751606691,4.79574667220581
"51","High","ave","Male","mean",6.06924181166619,5.69340024513415,6.46989401455811,6.09187636710628,5.74914806791659,6.45878807855227
"52","High","ave","Female","mean",6.1088645489535,5.74321408147815,6.49779471007568,6.12875038130673,5.79494103937581,6.47550930074559
