,Condition,Genotype,Sex,Age,Frequ.Est,Frequ.Low,Frequ.Hig
1,Low,e33,Male,45-49,0.99851,0.9936273,0.9996529
2,Low,e33,Male,50-54,0.9967825,0.9916607,0.9987625
3,Low,e33,Male,55-59,0.9930658,0.9875258,0.996155
4,Low,e33,Male,60-65,0.9851201,0.9717243,0.9922203
5,Low,e33,Female,45-49,0.995773,0.9874217,0.9985874
6,Low,e33,Female,50-54,0.9954854,0.9909504,0.9977529
7,Low,e33,Female,55-59,0.9951783,0.991025,0.9974146
8,Low,e33,Female,60-65,0.9948504,0.9867311,0.9980115
9,Low,e4p,Male,45-49,0.9943403,0.9836622,0.9980532
10,Low,e4p,Male,50-54,0.994109,0.9883858,0.9970205
11,Low,e4p,Male,55-59,0.9938683,0.9898604,0.9962979
12,Low,e4p,Male,60-65,0.9936178,0.9870322,0.9968696
13,Low,e4p,Female,45-49,0.9967066,0.9877538,0.9991201
14,Low,e4p,Female,50-54,0.9973238,0.9940526,0.9987979
15,Low,e4p,Female,55-59,0.9978255,0.9952651,0.9990028
16,Low,e4p,Female,60-65,0.9982334,0.9936505,0.9995101
17,High,e33,Male,45-49,0.9867031,0.9730659,0.9934818
18,High,e33,Male,50-54,0.9808519,0.9695173,0.988024
19,High,e33,Male,55-59,0.9724977,0.9603858,0.9809798
20,High,e33,Male,60-65,0.9606448,0.9358996,0.9760816
21,High,e33,Female,45-49,0.9832297,0.9683211,0.991186
22,High,e33,Female,50-54,0.979781,0.9694049,0.9866865
23,High,e33,Female,55-59,0.9756407,0.9649259,0.9831394
24,High,e33,Female,60-65,0.9706779,0.9501011,0.9829219
25,High,e4p,Male,45-49,0.982216,0.9646708,0.991128
26,High,e4p,Male,50-54,0.9776616,0.9652141,0.9857208
27,High,e4p,Male,55-59,0.971974,0.9613823,0.979722
28,High,e4p,Male,60-65,0.9648903,0.9459891,0.9773355
29,High,e4p,Female,45-49,0.9845734,0.9700671,0.9921067
30,High,e4p,Female,50-54,0.9805062,0.9703042,0.9872493
31,High,e4p,Female,55-59,0.9753934,0.9656462,0.9824254
32,High,e4p,Female,60-65,0.9689822,0.9496065,0.9810567
33,Low,ave,Male,45-49,0.9970941,0.9928073,0.998829
34,Low,ave,Male,50-54,0.9956454,0.9921351,0.9975928
35,Low,ave,Male,55-59,0.9934793,0.9903362,0.9956047
36,Low,ave,Male,60-65,0.9902462,0.9841783,0.9940011
37,Low,ave,Female,45-49,0.9962688,0.9911883,0.9984247
38,Low,ave,Female,50-54,0.9965236,0.9940605,0.9979674
39,Low,ave,Female,55-59,0.9967611,0.9946397,0.9980446
40,Low,ave,Female,60-65,0.9969825,0.9932823,0.9986473
41,High,ave,Male,45-49,0.9846198,0.9746398,0.9907099
42,High,ave,Male,50-54,0.9793169,0.9712436,0.9851582
43,High,ave,Male,55-59,0.972237,0.9643059,0.9784453
44,High,ave,Male,60-65,0.9628258,0.9482326,0.9734205
45,High,ave,Female,45-49,0.9839153,0.9743423,0.9899535
46,High,ave,Female,50-54,0.9801468,0.973096,0.9853776
47,High,ave,Female,55-59,0.9755174,0.9684043,0.9810604
48,High,ave,Female,60-65,0.9698416,0.9565604,0.9791507
49,Low,ave,Male,mean,0.9941106,0.9910208,0.9961413
50,Low,ave,Female,mean,0.9967028,0.9947153,0.9979443
51,High,ave,Male,mean,0.9742198,0.9666869,0.9800844
52,High,ave,Female,mean,0.9767767,0.9701643,0.9819509
